date,CPI,Core CPI,Food,Energy,Commodities (less food and energy),Services (less energy),Food at home,Food away from home,Energy commodities,Energy services,New vehicles,Used cars and trucks,Apparel,Medical Care Commodities,Alcoholic beverages,Tobacco and smoking products,Shelter,Transportation services,Medical care services,Cereals and bakery products,"Meats, poultry, fish, and eggs",Dairy and related products,Fruits and vegetables,Nonalcoholic beverages,Other food at home,Full service meals,Fuel oil,Gasoline,Electricity,Utility gas service
1947-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947-02-01,0.006517690875232907,,0.013157894736842035,,,,,,,0.0,,,0.01041666666666674,,,,,,,,,,0.014423076923076872,0.027027027027027195,,,,,,
1947-03-01,0.01757631822386685,,0.030303030303030276,,,,,,,0.0,,,0.015463917525773141,,,,,,,,,,0.05213270142180093,0.02631578947368407,,,,,,
1947-04-01,0.0,,-0.012605042016806789,,,,,,,0.0,,,0.0076142131979697325,,,,,,,,,,-0.018018018018017945,0.025641025641025772,,,,,,
1947-05-01,-0.002272727272727315,,-0.004255319148936176,,,,,,,0.0,,,0.0025188916876572875,,,,,,,,,,0.0183486238532109,0.008333333333333304,,,,,,
1947-06-01,0.005922551252847352,,0.004273504273504258,,,,,,,-0.005464480874317057,,,0.005025125628140836,,,,,,,,,,-0.0045045045045044585,-0.024793388429751984,,,,,,
1947-07-01,0.006793478260869623,,0.01276595744680864,,,,,,,0.0,,,0.0,,,,,,,,,,0.004524886877828038,0.008474576271186418,,,,,,
1947-08-01,0.007647323436797082,,0.012605042016806678,,,,,,,0.005494505494505475,,,0.0024999999999999467,,,,,,,,,,0.03603603603603611,0.0,,,,,,
1947-09-01,0.019642857142857295,,0.029045643153526868,,,,,,,0.0,,,0.0024937655860348684,,,,,,,,,,0.01304347826086949,0.01680672268907557,,,,,,
1947-10-01,0.0030647985989491477,,0.004032258064516014,,,,,,,0.0,,,0.004975124378109319,,,,,,,,,,0.0,0.008264462809917328,,,,,,
1947-11-01,0.006547359231776406,,0.012048192771084265,,,,,,,0.0,,,0.004950495049504955,,,,,,,,,,-0.0042918454935623185,0.024590163934426368,,,,,,
1947-12-01,0.015177797051170838,,0.01984126984126977,,,,,,,0.005464480874316724,,,0.009852216748768461,,,,,,,,,,0.012931034482758674,0.008000000000000007,,,,,,
1948-01-01,0.011533532678342562,,0.015564202334630517,,,,,,,0.005434782608695787,,,0.007317073170731714,,,,,,,,,,-0.017021276595744594,0.0,,,,,,
1948-02-01,-0.0004222972972972583,,-0.00766283524904221,,,,,,,0.0,,,0.012106537530266248,,,,,,,,,,0.01298701298701288,0.007936507936507908,,,,,,
1948-03-01,-0.007182087029995898,,-0.02316602316602312,,,,,,,0.005405405405405572,,,0.004784688995215447,,,,,,,,,,-0.012820512820512664,0.007874015748031704,,,,,,
1948-04-01,0.013617021276595809,,0.027667984189723382,,,,,,,0.0,,,0.0023809523809523725,,,,,,,,,,0.025974025974025983,0.015625,,,,,,
1948-05-01,0.007976490344248521,,0.011538461538461497,,,,,,,0.0,,,0.009501187648456089,,,,,,,,,,-0.012658227848101333,0.007692307692307665,,,,,,
1948-06-01,0.005830903790087438,,0.0076045627376426506,,,,,,,0.005376344086021501,,,-0.0023529411764706687,,,,,,,,,,-0.008547008547008517,0.01526717557251911,,,,,,
1948-07-01,0.010351966873705987,,0.007547169811320753,,,,,,,0.0,,,0.0070754716981134,,,,,,,,,,0.008620689655172376,0.015037593984962294,,,,,,
1948-08-01,0.0012295081967212962,,-0.0074906367041198685,,,,,,,0.005347593582887722,,,0.00936768149882905,,,,,,,,,,-0.017094017094017033,-0.007407407407407418,,,,,,
1948-09-01,-0.002865329512893977,,-0.007547169811320753,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,-0.007462686567164201,,,,,,
1948-10-01,-0.0020525451559935126,,-0.0076045627376425395,,,,,,,0.005319148936170137,,,0.0,,,,,,,,,,-0.004347826086956608,-0.007518796992481258,,,,,,
1948-11-01,-0.006170300287947295,,-0.01532567049808442,,,,,,,0.0,,,-0.0023201856148492572,,,,,,,,,,-0.0393013100436681,0.007575757575757791,,,,,,
1948-12-01,-0.004552980132450313,,-0.0077821011673151474,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,0.0,,,,,,
1949-01-01,-0.0016632016632016633,,-0.0039215686274510775,,,,,,,0.005291005291005346,,,-0.018604651162790642,,,,,,,,,,0.031818181818181746,-0.015037593984962516,,,,,,
1949-02-01,-0.004164931278633932,,-0.00393700787401563,,,,,,,0.0052631578947368585,,,-0.009478672985782088,,,,,,,,,,0.0396475770925111,0.0,,,,,,
1949-03-01,0.0,,0.0,,,,,,,0.0,,,-0.004784688995215225,,,,,,,,,,0.016949152542372836,0.0,,,,,,
1949-04-01,0.0004182350480970154,,0.0,,,,,,,0.005235602094240788,,,-0.007211538461538547,,,,,,,,,,-0.004166666666666763,0.007633587786259444,,,,,,
1949-05-01,-0.0004180602006689238,,-0.0039525691699605625,,,,,,,0.0,,,-0.004842615012106477,,,,,,,,,,-0.008368200836820106,0.007575757575757791,,,,,,
1949-06-01,0.0004182350480970154,,0.003968253968253954,,,,,,,0.0,,,-0.0024330900243308973,,,,,,,,,,-0.008438818565400852,0.015037593984962294,,,,,,
1949-07-01,-0.009197324414715768,,-0.01976284584980237,,,,,,,0.005208333333333481,,,-0.00487804878048792,,,,,,,,,,-0.021276595744680882,0.007407407407407307,,,,,,
1949-08-01,0.0,,0.0,,,,,,,0.0,,,-0.007352941176470562,,,,,,,,,,0.008695652173912993,0.0,,,,,,
