date,CPI,Core CPI,Food,Energy,Commodities (less food and energy),Services (less energy),Food at home,Food away from home,Energy commodities,Energy services,New vehicles,Used cars and trucks,Apparel,Medical care commodities,Alcoholic beverages,Tobacco and smoking products,Shelter,Transportation services,Medical care services,Cereals and bakery products,"Meats, poultry, fish, and eggs",Dairy and related products,Fruits and vegetables,Nonalcoholic beverages,Other food at home,Full service meals,Fuel oil,Gasoline,Electricity,Limited Service Meals,Utility gas service
1980-02-01,0.14182344428364702,0.12028985507246381,0.07326478149100257,0.46607142857142847,0.09090909090909105,0.14900153609831035,0.0586766541822723,0.10699588477366251,0.6672694394213383,0.15586690017513138,0.07990012484394504,0.010362694300518172,0.06439854191980565,0.08023774145616658,0.07593307593307586,0.0699088145896658,0.18335901386748832,0.11624441132637875,0.11520737327188946,0.11634349030470892,0.015855039637599155,0.09476309226932655,0.007957559681697646,0.10585305105853049,0.09908735332464147,,0.7,0.6785079928952042,0.1382113821138211,,0.18518518518518512
1980-03-01,0.14756446991404015,0.125,0.07388535031847132,0.47130434782608677,0.09005376344086002,0.16006097560975618,0.05940594059405946,0.10433604336043367,0.6620209059233451,0.1646447140381282,0.07596513075965139,0.0,0.07040572792362765,0.08579881656804744,0.07397959183673475,0.06818181818181812,0.190548780487805,0.12888888888888883,0.11755725190839694,0.11691884456671242,0.0033333333333334103,0.09305210918114137,0.0292553191489362,0.11610486891385774,0.11328125,,0.66793893129771,0.6809605488850772,0.1410256410256412,,0.20116054158607355
1980-04-01,0.14730878186968854,0.12962962962962954,0.07196969696969702,0.43456375838926165,0.08921438082556588,0.16767371601208447,0.05896805896805901,0.10335570469798672,0.589108910891089,0.1738382099827882,0.07644882860665847,-0.016694490818030094,0.07236061684460271,0.08823529411764697,0.08111533586818753,0.0680786686838124,0.1975867269984919,0.14264705882352935,0.12006079027355643,0.12876712328767126,-0.02083333333333337,0.09888751545117436,0.06366047745358094,0.12204234122042346,0.11772315653298837,,0.6217712177121772,0.596774193548387,0.14761904761904754,,0.21470019342359747
1980-05-01,0.1440559440559439,0.13276836158192107,0.06758448060075084,0.39291465378421897,0.08982826948480849,0.17215568862275443,0.056097560975609584,0.09827357237715817,0.5125391849529781,0.1865546218487395,0.07946210268948661,-0.029268292682926744,0.06847697756788662,0.09210526315789469,0.08176100628930816,0.07552870090634434,0.20119225037257826,0.1503649635036497,0.11933534743202401,0.1304347826086958,-0.04347826086956519,0.11042944785276076,0.08741721854304618,0.1253101736972706,0.12066752246469825,,0.545774647887324,0.5168195718654434,0.15756630265210614,,0.2276119402985073
1980-06-01,0.14384508990318134,0.13585434173669442,0.07107231920199508,0.33536585365853666,0.08923884514435687,0.18100890207715126,0.05832320777642774,0.09894459102902364,0.41935483870967727,0.18861788617886166,0.07308160779537154,-0.039936102236421744,0.06863905325443787,0.09447674418604657,0.0827067669172934,0.09214501510574014,0.2085168869309839,0.15116279069767447,0.11711711711711725,0.12955465587044546,-0.03622392974753019,0.1058394160583942,0.07069408740359906,0.1297898640296662,0.1304347826086958,,0.4381107491856677,0.42000000000000015,0.1718983557548579,,0.21467889908256876
1980-07-01,0.13132694938440514,0.12361111111111112,0.07558859975216836,0.2909356725146197,0.08746736292428192,0.1568914956011731,0.06892382103990324,0.09411764705882364,0.34583333333333344,0.18849840255591066,0.07411907654921035,-0.02715654952076685,0.07159904534606198,0.09840810419681634,0.08364544319600498,0.09036144578313254,0.17826086956521725,0.14697406340057628,0.11458333333333348,0.12683578104138848,-0.009911894273127664,0.10787878787878791,0.06557377049180335,0.12087912087912067,0.12927756653992373,,0.3615384615384616,0.3445945945945945,0.17647058823529416,,0.20683453237410054
1980-08-01,0.12872628726287272,0.11829436038514429,0.09565217391304359,0.25070821529745047,0.09338521400778221,0.14347826086956528,0.0948905109489051,0.09350649350649354,0.28552456839309426,0.18541996830427876,0.08759124087591252,-0.003225806451612967,0.0742924528301887,0.09928057553956848,0.08966376089663775,0.07555555555555538,0.16262482168330972,0.1469329529243939,0.11209439528023601,0.11286089238845132,0.06514285714285717,0.10191846522781778,0.08585858585858586,0.11377245508982026,0.12765957446808485,,0.27994227994227994,0.28793774319066157,0.1705539358600583,,0.21109123434704835
1980-09-01,0.126005361930295,0.11989100817438691,0.10148514851485158,0.2165517241379311,0.10180412371134029,0.138769670958512,0.1043689320388348,0.09560723514211866,0.23491655969191272,0.1799687010954618,0.09390243902439033,0.05756578947368429,0.07274826789838351,0.10014306151645203,0.08787128712871306,0.07079646017699104,0.15330520393811553,0.15134370579915135,0.11111111111111094,0.109375,0.08997722095671978,0.09112426035502952,0.11010362694300513,0.09893992932862172,0.12004950495049505,,0.2136986301369863,0.23899371069182385,0.16666666666666674,,0.19720767888307145
1980-10-01,0.12765957446808507,0.12280701754385981,0.10098522167487678,0.19645293315143264,0.10485933503836331,0.1384180790960452,0.10399032648125739,0.09487179487179498,0.21319796954314718,0.16279069767441867,0.08585247883917768,0.11352253756260433,0.07568807339449535,0.10099573257467998,0.08210784313725483,0.0676470588235294,0.15491009681881063,0.1486676016830295,0.11159420289855082,0.11772315653298837,0.0971428571428572,0.09144196951934336,0.09585492227979264,0.088474970896391,0.12039312039312033,,0.18438761776581436,0.22069825436408985,0.1608187134502923,,0.16835016835016847
1980-11-01,0.1264822134387351,0.1213333333333333,0.10552147239263787,0.18963165075034105,0.10253164556962013,0.13947001394700131,0.11097708082026525,0.09554140127388533,0.20351758793969865,0.16113744075829395,0.07957244655581941,0.16329966329966328,0.07657142857142851,0.10169491525423724,0.07664233576642343,0.08235294117647052,0.15081521739130443,0.14384508990318134,0.10919540229885061,0.11810012836970452,0.10628571428571432,0.08912037037037024,0.10340314136125639,0.08333333333333326,0.12576312576312576,,0.1875,0.20715166461159074,0.16742081447963808,,0.1515151515151516
